Country (db),db,Country (dgw),dgw,Country (dgl),dgl,Country (di),di,Country (de),de
Afghanistan,0.04713352017210901,Poland,0.052429667519181586,Turkmenistan,0.05541346973572037,France,0.05946291560102302,France,0.08468314862176753
Kazakhstan,0.03516320503683224,Afghanistan,0.04688832054560955,Lithuania,0.03878942881500426,Jordan,0.05711849957374254,Romania,0.0722126887574503
India,0.032399887930578485,Slovakia,0.04603580562659847,Laos,0.03793691389599318,Kyrgyzstan,0.05536061042774598,Jordan,0.05711849957374254
Greece,0.029558014524026104,Laos,0.04475703324808184,Armenia,0.03495311167945439,Mongolia,0.05445439045183291,Kuwait,0.054418868996874106
Israel,0.028985507246376812,Armenia,0.03495311167945439,Afghanistan,0.03154305200341006,Lithuania,0.0538051597907119,Belgium,0.0541418016481955
Spain,0.028985507246376812,Israel,0.028985507246376812,Spain,0.028985507246376812,Latvia,0.052423433813145306,Finland,0.048344700198920135
Slovakia,0.028373505517131848,Spain,0.028985507246376812,Israel,0.028985507246376812,Belarus,0.05132688878129045,Kyrgyzstan,0.02905737673034752
Turkmenistan,0.021677400086832922,Finland,0.02855924978687127,Belarus,0.02855924978687127,Macedonia,0.04411764705882352,Spain,0.028985507246376812
Croatia,0.016360995198994928,Macedonia,0.02855924978687127,Finland,0.02855924978687127,Serbia,0.04314080704745666,Israel,0.028985507246376812
Norway,0.014279624893435636,Georgia,0.02557544757033248,Greece,0.027280477408354646,Turkmenistan,0.030836597924193833,Macedonia,0.02770977956399951
Finland,0.014279624893435636,Kazakhstan,0.023444160272804774,Latvia,0.02600170502983802,Norway,0.03015771526001705,Ukraine,0.026445305317352858
Vietnam,0.012681159420289856,Latvia,0.020034100596760442,Georgia,0.023444160272804774,Spain,0.028985507246376812,Croatia,0.024980716924450936
Latvia,0.011524281718789728,Uzbekistan,0.0196078431372549,Kazakhstan,0.020886615515771527,Israel,0.028985507246376812,Uzbekistan,0.0220531578676181
Switzerland,0.008409689536513667,Lithuania,0.017902813299232736,Albania,0.01619778346121057,Laos,0.02563583404376243,Afghanistan,0.017902813299232736
Italy,0.0077266627025916945,Albania,0.01619778346121057,Montenegro,0.015345268542199489,Tajikistan,0.020571743190029634,Vietnam,0.017369991474850813
Montenegro,0.0062764808440538685,Montenegro,0.015345268542199489,Uzbekistan,0.014919011082693947,Qatar,0.018790849673202617,Tajikistan,0.0147325682996702
Macedonia,0.0057070158345565525,Czech Republic,0.008525149190110827,Tajikistan,0.00639386189258312,Belgium,0.017334470019892013,Austria,0.013907093634555273
Albania,0.004769009052896521,Tajikistan,0.00639386189258312,Vietnam,0.005541346973572037,Croatia,0.013213981244671782,Armenia,0.0123614663256607
Lithuania,0.0038464661226809563,Cambodia,0.002131287297527707,Czech Republic,0.004262574595055414,Uzbekistan,0.010994144034425364,Bhutan,0.011804888201442246
Kyrgyzstan,0.003384010609074548,Belgium,0.0017050298380221654,Cambodia,0.002131287297527707,Afghanistan,0.00639386189258312,Georgia,0.011437908496732027
Tajikistan,0.003384010609074548,Kyrgyzstan,0.001278772378516624,Belgium,0.0017050298380221654,Vietnam,0.0032360045467462344,Sweden,0.011118215402102885
Armenia,0.002062452658586252,United Arab Emirates,0.00042625745950554135,Kyrgyzstan,0.0017050298380221654,Montenegro,0.0005683432793407218,Belarus,0.010887175634338052
Czech Republic,0.0017131490277270329,Indonesia,0.0,Macedonia,0.001278772378516624,Oman,0.00014208581983518045,United Arab Emirates,0.006926683716965047
Cambodia,0.0010656436487638534,Moldova,0.0,United Arab Emirates,0.00042625745950554135,Sweden,0.0,Montenegro,0.0038535704136727143
Belgium,0.0009590792838874681,Sweden,0.0,Estonia,0.0,Indonesia,0.0,Indonesia,0.0
Uzbekistan,0.00035521454958795107,Norway,0.0,Norway,0.0,Lebanon,0.0,Norway,0.0
United Arab Emirates,0.00021312872975277067,Lebanon,0.0,Kuwait,0.0,Finland,0.0,Moldova,0.0
Sweden,0.0,Kuwait,0.0,Sweden,0.0,Cambodia,0.0,Cambodia,0.0
Estonia,0.0,Estonia,0.0,Indonesia,0.0,Moldova,0.0,Estonia,0.0
Indonesia,0.0,Portugal,0.0,Moldova,0.0,Estonia,0.0,Lebanon,0.0
Moldova,0.0,Bosnia and Herzegovina,0.0,Portugal,0.0,Portugal,0.0,Portugal,0.0
Kuwait,0.0,Denmark,0.0,Lebanon,0.0,Bosnia and Herzegovina,0.0,Bosnia and Herzegovina,0.0
Lebanon,0.0,Vietnam,0.0,Bosnia and Herzegovina,0.0,Denmark,0.0,Denmark,0.0
Bosnia and Herzegovina,0.0,Nepal,0.0,Denmark,0.0,Nepal,0.0,Nepal,0.0
Portugal,0.0,Mongolia,0.0,Nepal,0.0,Hong Kong,0.0,Mongolia,0.0
Denmark,0.0,Hong Kong,0.0,Mongolia,0.0,Bhutan,0.0,Hong Kong,0.0
Nepal,0.0,Bhutan,0.0,Hong Kong,0.0,Brunei,0.0,Brunei,0.0
Mongolia,0.0,Brunei,0.0,Bhutan,0.0,Bangladesh,0.0,Bangladesh,0.0
Hong Kong,0.0,Croatia,0.0,Brunei,0.0,Netherlands,0.0,Netherlands,0.0
Bhutan,0.0,Bangladesh,0.0,Croatia,0.0,Luxembourg,0.0,Luxembourg,0.0
Brunei,0.0,Netherlands,0.0,Bangladesh,0.0,Italy,0.0,Italy,0.0
Bangladesh,0.0,Luxembourg,0.0,Netherlands,0.0,Switzerland,0.0,Switzerland,0.0
Netherlands,0.0,Italy,0.0,Luxembourg,0.0,Georgia,0.0,Qatar,0.0
Luxembourg,0.0,Qatar,0.0,Italy,0.0,United Arab Emirates,0.0,Oman,0.0
Qatar,0.0,Oman,0.0,Qatar,0.0,Greece,0.0,Greece,0.0
Oman,0.0,Greece,0.0,Oman,0.0,Albania,0.0,Albania,0.0
Singapore,0.0,Singapore,0.0,Singapore,0.0,Singapore,0.0,Singapore,0.0
